title,doc
ソバ,最近のそば屋はこだわりをもっているところが多いためか、ソバには高級な食物の印象が出てきた。日本で生産されているソバの品種は、おもに夏ソバ、秋ソバに分けられる。夏ソバは春に種子をまいて晩夏に収穫。秋ソバは夏に種子をまいて秋に収穫する。
ソテツ,九州南部から沖縄にかけて自生する。大型の羽状複葉が濃緑色で美しいために、関東でも庭に植えたり、栽培して葉を出荷しているところもある。雌雄異株（しゆういしゅ）で、塔がそびえるように咲くのがお花で、め花は花の原型を示している。
センボンヤリ,山地や丘陵地に生えるセンボンヤリは、春と秋にそれぞれちがう形の花をつける。春は高さ10センチメートルくらいの茎に、かわいらしい白い花を咲かす。秋は花が開かない閉鎖花（へいさか）で、総苞（そうほう）の長さはおよそ15ミリメートル。まさに槍（やり）のような姿で直立する。
セロリ,茎や葉にアピイン（apiin)という配合体がふくまれており、強い芳香がある。ギリシャ、ローマ時代にはすでに薬味や香料として利用されていた。17世紀になってからヨーロッパで野菜として栽培されるようになった。日本では昭和50年ごろから、サラダ用の野菜として一般的になった。
セリ,春の七草の一つとして有名なセリは、野菜として生活の中にとけこんでいる。野生のものは、水田などの湿地に生えている。春に葉をつんでしまっても、夏には元気に花を咲かせる。仲間のドクゼリは湿原に生えるが、地下茎が太くて中空である。
セイヨウミザクラ,日本へは明治時代に渡来し、雨の少ない地方で栽培される。果実はおなじみのサクランボ。収穫期に雨に当たると果実が割れてしまうため、天幕の下で栽培することが多い。日本で栽培される品種は日ノ出、ナポレオンなどで、写真は最も生産量の多いタカサゴ。
セイヨウカボチャ,日本で栽培しているカボチャは、セイヨウカボチャ（Cucurbita maxima）とニホンカボチャ（Cucurbita moschata）、ペポカボチャ（Cucurbita pepo）の3種類。どれもつるを出して地面をはうが、セイヨウカボチャの中にはつるにならないものもある。食用のほかに、飼料用として果実が大きくなるものも栽培される。
スズラン,山や高原などに生える。庭や公園などに植えられているが、これは園芸品種のドイツスズランの場合が多い。5月1日にスズランを贈ると幸せが訪れるといういい伝えがある。たしかに、明るい新緑の中で花咲くスズランのようすは、人を優しい気分にさせる。
スズメノカタビラ,道ばたや空き地など全国どこにでも生える。秋に発芽して株立ちし、葉をしげらせたまま冬をこして早いものは3月に花をつける。全体が淡い緑色で柔らかく、細いひげ根がある。円錐花序（えんすいかじょ）は長さ4～5ミリメートル、小穂（しょうすい）は長さ3～5ミリメートルほど。
ススキ,ススキがあるだけで秋を演出できるほど、日本の秋の象徴といえる。茅葺（かやぶき）の家は数少なくなったが、野生のススキは屋根をふく材料に使われる。また、観賞用に栽培もされている。都市近郊では、セイタカアワダチソウに押しやられてあまり見られなくなった。
スサビノリ,板ノリの主要な原料として養殖（ようしょく）されるが、そこから自然海岸にも進出している。もともと、北海道南部・東北沿岸に生育が限られ、函館地方の地名「すさび」にちなんで名付けられた。環境適応性（かんきょうてきおうせい）が高いため、アサクサノリに替わって北海道から九州まですべてのノリ養殖場に広がり、さらには朝鮮半島沿岸に分布している。なお、江戸時代に、浅草寺門前の海でとれたといわれるアサクサノリは、開発や海洋汚染（かいようおせん）が進むとともに姿を消し、環境省のレッドリストの絶滅危惧Ⅰ類に指定されている。
スギ,スギといえば屋久島の縄文杉が有名だが、本来の自生はそう多くはない。ほとんどが、落葉広葉樹林を伐採（ばっさい）した後に植林されたものだ。ここ10年ほど、春先にたくさんの人をなやませている花粉が飛び散るようすは、煙が立ち上るように多量である。
スイートピー,マメ科の園芸品種の中で、一番親しまれている花といってもいいだろう。大きなちょう形花には、白、ピンク、オレンジ、紫などとあざやかな色の種類があり、甘ずっぱいよい香りもするために切り花としてもよく利用されている。
スイセン,地中海沿岸の原産だが、古い時代に日本に渡来し野生化している。スイセン属の花はみんなスイセンとよばれるが、ニホンズイセンやラッパスイセン、カップスイセンなど花の形や副花冠（ふくかかん）の色のちがいなどでいろいろな種類がある。
スイカ,エジプトでは、4000年前から栽培されていたというスイカ。日本では、明治時代中ごろまでは在来種が栽培されていたが、それ以降は欧米や中国からの品種が広まった。栽培品種の一つ富山県のクロベスイカは、ラグビーボールのような形をしていてひじょうに重い。
ジュズダマ,かたい陶器のような総苞葉（そうほうよう）で、じゅずをつくったことからこの名がある。ビーズ玉として使った国もあるらしい。日本でも子どもが首かざりなどをつくって遊ぶ。熱帯アジア原産だが日本では古い時代から栽培され、現在はそれが野生化している。
ジャガイモ,世界のイモ類の中で、最も多く栽培されている。日本へは江戸初期に渡来し、その後、明治時代に導入された男爵やメークイーンは、現在でも主要な品種。イモは、地中を横にはう地下茎がふくらんででき、球やだ円などイモの形のちがいが品種の特徴となる。
シロバナタンポポ,東京より西方で咲く白いタンポポ。むかしは西日本でしか見られなかったが、最近では東京でも咲いていることが増えた。ほかのタンポポより弱々しいようすだが、受粉しなくても種子ができるセイヨウタンポポと同じような生命力があるからだろう。
シロツメクサ,ヨーロッパ原産の帰化植物。江戸時代、オランダ人がガラス製品の緩衝（かんしょう）材として、シロツメクサの干し草をつめたことからこの名がついたという。クローバーとよぶ場合は、この種（しゅ）をさすことが多い。子どもはこの花で首かざりをつくるなどして遊ぶ。
シラカンバ,高原のさわやかな空気、シラカンバの美しい緑の葉とまっ白い幹は、切っても切れない関係だ。しかし、樹液は濃厚で、木の下に車をとめておくとフロントガラスがかなりよごれるほどだ。さわやかな印象とは異なり、強い生命活動をしていることがわかる。
ショウブ,水辺に群生する。ショウブというとハナショウブを思い浮かべるが、これらは科もちがいまったく別物である。ショウブは全体によい香りがあり、葉は端午の節句にお風呂にいれてショウブ湯にする。苞（ほう）が葉と同じ形なので、花が葉の途中にあるように見える。
ショウガ,ヨーロッパや東南アジアではかなり古くから栽培されていた。日本でも平安時代から栽培されている。関東ではなまで食べられる谷中ショウガがつくられている。花は暖かい地方でまれに咲くが、果実はつけない。
シュンラン,落葉樹林の乾いたところに生え、まだ木々が芽吹く前の森にひっそりと花を咲かせる。長さ20～35センチメートルほどの線形の葉は、根元にたくさんつき、冬でも枯れない。そのあいだから太い肉質の花茎（かけい）を出し先端に1個花をつけるが、まれに2個花が咲くときもある。
シュンギク,地中海から中国を経由して日本に渡来した野菜。ビタミンが豊富でいろいろな食べ方ができるため、現代では欠かせない野菜となっている。ただ、食用に利用するのは東アジア諸国だけで、もともとは花を観賞する目的で栽培されていたという。
シュロ,日本では普通栽培されるが、暖かい地方では野生化しており、九州南部のものは自生という説もある。幹は葉のつけ根が残ったもので、シュロ毛で包まれている。この暗かっ色の繊維はタワシなどに利用する。葉は90センチメートルぐらいと大型で、花序（かじょ）はたれ下がるようにつく。
シャコバサボテン,シャコバサボテンの葉は茎の節先の突起がするどい。カニバサボテンの葉は、カニの足のような形で先が丸みを帯びているが、最近では中間のものがありはっきりと区別できない。冬のあいだ、寒さのきらいなシャコバサボテンは、日当たりのよい南の窓辺に置くとよい。
シャガ,春、アヤメやハナショウブなどより早い時期にうす暗い林の下で群生する。人里に近いところによく見られることから、古い時代に中国から渡来したものが野生化したと考えられている。ヒメシャガは、丈も花もシャガより小さく、自生は少ない。
シバザクラ,日当たりのよいところを好み、細かく分岐してしげる。芝のように広がり、サクラのような花が咲くことからこの名がついた。葉は密生するが、花は株全体をおおうように咲く。写真のようなピンクのほかに白、藤青、絞りなどの花が咲く品種もある。
シダレヤナギ,池のある公園や川沿いの道などによく植えられている。日本にはお株が多い。水辺を好む植物だけあって、お堀ばたなどによく似合う。細い枝を風になびかせているシダレヤナギだけがヤナギだと思われがちだが、ポプラ（セイヨウハコヤナギ）などもヤナギの仲間である。
シソ,日本で古くから栽培されていて、野生化したものも見かける。栽培品種としては、大きくアオジソ系とアカジソ系に分けられる。利用方法によって葉、穂、果実を使い分けるなど、シソは日本のハーブの中で一番親しまれているといってもいい。
シクラメン,ハート形の葉やはなやかな色の花が好まれ、冬の鉢植えとして人気が高い。19世紀末ころから現在見られるような大輪系の品種が生まれた。写真のような濃いピンクのほかにも赤や白、ピンクのものや八重咲き（やえざき）系や花びらが縮んだフリンジ系などがある。
シイタケ,日本の栽培キノコの代表種である。秋には広葉樹の森にも自生するが、原木に菌をつけての栽培のほうが一般的である。栽培そのものはかなり古い時代から始まっていたが、現在広く行なわれている方法は昭和になってから考案された。
サルスベリ,夏から秋にかけて、ちぢれた花びらをもつピンク、白、紫色などの花が咲く。樹皮はうすくてはげやすく、幹はなめらかであることから「猿滑り」の名が出たといわれている。また長いあいだ花を咲きつづかせることから、「百日紅（ひゃくじつこう）」の名もある。
サトウキビ,茎のしぼり汁から砂糖をつくる糖料作物。サトウキビの成育には平均気温で20℃以上が必要なため、日本では沖縄県と九州、四国の一部で栽培される。見た目のとおりかたく繊維質で、かじるとかなり甘い。糖度が高くなると大きな穂を出すが、通常その前に収穫する。
サトイモ,いかにも南方の植物らしく、葉は大きくつややかで、きれいな水玉をつくって水をはじく。湿った土地が合っていて乾燥には弱い。サトイモの品種はとても多いが、日本でよく栽培されているのは子芋がよくつく里芋、長い筍芋、大きい唐芋、八頭など。
サツキ,サツキというと庭木として植えられている印象が強いが、自生のものは川岸の水しぶきがかかるようなところに生える。かっ色の毛がついた枝は横に伸びて、岩場にしがみつくようだ。栽培品種はさまざまな色や八重咲き（やえざき）のものなど多くの品種がある。
サザンカ,花の少ない晩秋から冬にかけて花が咲くため、広く庭木として親しまれている。形状や色のちがう多くの園芸品種がある。自生のものは、山口県から四国、九州の一部から沖縄に分布。花びらが、1枚ずつばらばらに落ちるところがツバキとちがう。
サクラソウ,河川敷のような湿気の多い野原に生える。現在ではゴルフ場や護岸工事で自生地はつぶされ、かれんな花なので人には堀りとられるなど全国的に少なくなった植物の一つだ。一方、園芸品種は古くからつくられており、さまざまな色や形のものがある。環境省のレッドリストの準絶滅危惧に指定されている。
サギソウ,サギが翼を広げて飛んでいるような形の花をつけ、美しい。日当たりのよい湿地に生える。葉は茎の株に数個つき、上部の葉は小さなうろこ状になる。花は茎の先に1～2個つける。花が美しいため乱獲され、自生地の多くがなくなってしまった。環境省のレッドリストの準絶滅危惧に指定されている。
サギゴケ,田んぼのあぜ道などで、びっしりと一面に生える。これは、花の終わるころにほふく茎を出すためである。花は下唇（かしん）のほうが大きい。仲間のトキワハゼはやや乾いたところにも生え、サギゴケよりも一回り小さい花が4月から11月にかけて咲く。
サイハイラン,山地のうす暗い林の中に生える。15～35センチメートルの葉を根元に一つだけつけ、これは花が終わると枯れて新葉に変わり、翌年まで残る。ときには葉をつけないこともある。花は1本の茎に10～20個ほどつきたれ下がる。花色は変化が多く、紫色や緑色のものもある。
ゴボウ,食用としてなじみのある根は知っていても、花の姿だけでゴボウだとはなかなかわかりにくい。葉はフキやツワブキに似ていて、花はアザミのようだ。日本では当たり前のように食べる野菜だが、海外ではほとんど利用しない。海外では薬用植物として扱われる。
コーヒーノキ,世界的に見ると、紅茶よりも広く普及している飲物。生産されるコーヒーの約90％はアラビアコーヒーノキで、果実は開花後8～9カ月で収穫される。だ円形の果実は、はじめは緑色、それから紅色になり中には半球形の種子が2個入っている。これがコーヒー豆。
コンニャク,葉のない茎がにょきっと生え、その先に花をつける独特な姿をしている。球茎がコンニャクの原料となるが、3～4年ほど生長させて花を咲かせる前に収穫する。コンニャクは、中国の一部などでも食べるが、日本ほど流通している国はほかにはない。
コムギ,世界中で多くの品種がつくられ栽培されているコムギだが、その大部分は自然種ではなく、育成されたものだ。現在最も生産されているコムギはパンコムギ。これも、栽培の方法などから春まきコムギと秋まきコムギとに大別され、たくさんの品種がある。
コマツナ,カブと近縁で根部が肥大しない品種。江戸時代中期ごろから東京の小松川付近で栽培されていた。周年的に作られているが、耐寒性があり、関東では正月のお雑煮に使われるなど冬の野菜として重要。フユナ（冬菜）、ウグイスナ（鶯菜）とも呼ばれる。おもに浸し物、汁の実、和え物に使われる。
コブシ,山でも里でもまだ冬枯れの風景の中で、春はもうすぐですよ、と知らせるように、はなやかに咲きほこる。花は、花びらとがく片が色も形も同じため、花びらが9枚あるように見える。北の地方には葉の大きい変種のキタコブシが生える。
コニシキソウ,北米原産の帰化植物。畑や道ばたに普通に生える。茎は分岐しながら地をはい、小さな葉の中央に赤い斑があるのが特徴。花はまるで一つの花のように上部の葉のつけ根に咲くが、お花とめ花からできている。種子は水分を含むと粘り気が出る。
コナラ,雑木林の主役コナラの幹には銀白色の縦すじが不規則に走っている。秋にはすばらしい紅葉になり、細長いドングリもなる。かつては薪炭材や肥料にしたが、現在ではシイタケの原木や家具材などに利用されている。人間の生活と密接な関わりがある木である。
コオニユリ,山の草原に生える。オニユリに似ているが、花は小型で葉腋（ようえき）にむかごのような珠芽（しゅが）ができないこと、また結実することからも判別できる。花が黄色いものをキヒラトユリ（Lilium leichtlinii var. leichtlinii）という。
コオニタビラコ,早春の田んぼに生える。ロゼット状の根出葉（こんしゅつよう）が、田の面にはりつくようすから「田平子」の名がついたようだ。花はタンポポと同じように、日の当たっているときだけひらく。春の七草のホトケノザは、コオニタビラコのことをさす。
コウゾリナ,葉や茎など全体にかたい毛がある。指でなでるとゴワゴワしていて、けがをしそうなほどだ。「顔剃菜（かおぞりな）」「剃刀菜（かみそりな）」が転じてコウゾリナと命名されたことがうなずける。この特徴のおかげで痛い思いもするが、種（しゅ）の決定には役に立つ。
ゲンゲ（レンゲソウ）,中国原産だが、今や日本の春の風物詩となっているレンゲソウ。かつては田植え前の春の一時にゲンゲ畑が広がっていたものだが、最近ではあまり見られなくなった。緑肥や牧草として栽培もされ、養蜂業者にとっては重要な蜜源（みつげん）植物である。
ゲッカビジン,ゲッカビジンの花は、何十個もの鉢すべてに花を咲かせたかと思うとあっという間にしぼんでしまう。夜8時頃から、たった4時間ほどのはかない命を終えると、また約1カ月一つも花をつけない。花にはぬめりがあり、食用にもなる。
ケヤキ,暖地では川の近くに生える。関東では古い屋敷や街路樹にみごとな木がある。多くの車が走る街道沿いや駅前の並木道で市民に親しまれているが、大気汚染には弱い。近年では、木が広がりすぎることや落ち葉の問題などから伐採（ばっさい）の計画が出ている場所もある。
クロッカス,クロッカスとよばれて栽培されているものは、ハナサフランから改良された品種が多く、冬枯れの花壇であざやかな花を咲かせる。色は黄色、紫、白などがある。花柱（かちゅう）が生薬や食用として使われるサフランと似ているが、これは秋に花が咲く。
クレマチス,クレマチスは、センニンソウ属の学名で、日本では園芸品種の総称となっている。全世界でおよそ200種以上あるといわれ、日本ではテッセンやカザグルマおよびその交配種が多い。花びらのように見えるのががくで、八重（やえ）のものもある。
クリ,梅雨が終わるかどうかという時期に、淡い黄色のクリの花はとてもよく目立つ。日本では古くから栽培されていて、果実の成る木の中では一番人気がある。秋の八百屋に並ぶ栽培されたクリは大きいが、小粒ながらもヤマグリのほうが甘くておいしい。
クヌギ,コナラとともに雑木林の主役。樹皮は灰かっ色で厚く、縦に不規則に裂ける。大きな丸いドングリは、花が咲いた翌年の秋に成熟し、からには果実を守るように長い鱗片（りんぺん）がついている。クヌギは「国木」の意味から名がついたそうだ。
クチナシ,山に自生するが、庭木としても親しまれている。梅雨のさなかにいい香りのする花を咲かせる。果実は染料になり、正月料理のクリキントンづくりに今でも使われる。園芸種にヤエクチナシ、コクチナシがあるが、果実がつくのはクチナシだけ。
クズ,基部は木質で上部が草質の半低木。地下には1メートル以上にもなる芋状の根をもっている。初夏、茎は地上をはい、つるはほかのものに巻きついていくが、それを見ているとどんどん生長していくのがわかるほどだ。生命力の強さが感じられる植物である。
クスノキ,南の暖かい地方の、神社や寺の境内などでよく大木を見かける。常緑の樹木だが、春の終わりごろにあざやかな新しい緑の葉と花をつける。しょうのうの原料で、葉をもむといいにおいがする。本州以西の暖地に見られるが、本当の野生かどうかは疑問視されている。
クコ,川の土手などに生え、むかしから薬用に使われている。果実はクコ酒にしたり乾燥させて料理に使い、葉はクコ茶にするなどいろいろに利用される。茎は根元からよく分岐し、小枝はとげに変形する。葉は柔らかく、淡紫色の花が葉のつけ根に咲く。
キンモクセイ,花が美しく香りがよいので、庭や公園などに植えられる。雌雄異株（しゆういしゅ）で、日本にはお株のみが入っている。品種によって花色がちがい、花の白いものがギンモクセイ、淡黄色の花はウスギモクセイ。いずれも空気が汚いところでは花をつけない。
キンセンカ,冬の寒さが残る初春に、房総ではキンセンカが盛りとばかりに咲く。この時期には八百屋の店先にまで並んで売られていることが多い。
キョウチクトウ,温暖な地方ではよく見られるが、寒冷地では育たない。寒さに弱いわりには排気ガスなどの公害には強い植物で、交通量の多い高速道路や街道、工場周辺などに植えられることが多い。たくさんの園芸品種があり、花の色もピンクをはじめ、白、黄色などがある。
キュウリグサ,少し湿った野原や道ばたに生える。茎や葉をもむとキュウリに似たにおいがすることから和名がついた。茎は下部で分岐し、茎の上部がカタツムリ形の花序（かじょ）となり花は上向きに咲く。若い茎や葉は食用として山菜料理に利用される。
キュウリ,一年中どこでも手に入るキュウリだが、最もおいしいのはやはり夏である。とくに、とげのようないぼいぼのあるキュウリの味がいい。日本のキュウリは、東南アジアからきた華南型とシルクロードをとおってきた華北型から育成したもの。
キャベツ,13世紀ごろヨーロッパに広がった結球するキャベツは、日本には明治になってから導入された。それから昭和初期にかけて改良を重ね、日本独自の品種がつくられるようになった。花は黄色で、一定の大きさになったキャベツからとう立ちして咲く。
キツネノボタン,田んぼのあぜでよく見かける。葉がボタンに似ているのでこの名がつく。キンポウゲ科のRanunculus属の花びらは厚ぼったいのが特徴である。春に、同じような黄色い花をつけるミツバツチグリ（バラ科）やノゲシ（キク科）とは、葉を見れば見分けがつく。
キショウブ,明治時代に日本に入り、今では各地の水辺に自生のように生える。アヤメの仲間はいろいろあるが、キショウブは花の色が黄色いのでわかりやすい。外国種のジャーマンアイリスははでなつくりで、ダッチアイリスは切り花として見かけることが多い。
キク,奈良時代に中国から渡来したキクは、観賞用として広く栽培されている。キクには色も形も多くの種類があり、大別すると大菊、中菊、小菊に分けられる。さらに大菊の中で、厚物（あつもの）、管物（くだもの）、伊勢菊など、花の形によって分類される。
キキョウ,鐘形の青紫の花をつけるキキョウは秋の花の印象があるが、山では初夏から咲き始める。自生しているキキョウは、ぽつりと花をつけていて落ちついた雰囲気だ。一方、花壇では一カ所にたくさん植えつけ、花もたくさんつけるのでちがう花のようだ。環境省のレッドリストの絶滅危惧Ⅱ類に指定されている。
キウイ,中国から台湾に分布するオニマタタビが、ニュージーランドで改良されたもの。果実の外観がニュージーランドの国鳥「キーウィ」に似ていることから名がついた。日本での栽培は1969年からで、おもな品種にヘイワード、アボットなどがある。
カーネーション,古代ギリシア時代から栽培されていたというカーネーション。日本へも、江戸時代にオランダから渡来した。母の日に欠かせない花となっているが、キリストの死を悲しむ聖母マリアが涙を流した後に生じたといわれる花なので、母性の象徴と考えられたらしい。
カンナ,世界各国の熱帯地方に原種があり、各種の交配によって多くの品種がつくられた。出身場所にふさわしく、強い太陽がよく似合う花である。カンナ属には根茎（こんけい）が食べられるものもあるため、観賞用のものはハナカンナとよぶことがある。
カントウタンポポ,タンポポは日本で22種が自生している。カントウタンポポは関東と中部地方に分布するが、都市周辺で見かけるのはほとんどが帰化植物のセイヨウタンポポである。1株だけで種子ができるため、最も勢力を拡大している。
カラスノエンドウ,道ばたや野原に普通に見られる。茎はつる状でほかのものに巻きついていく。若い豆のさやは、サヤエンドウに似ていて食べられる。仲間のスズメノエンドウは全体が少し小さいことから、またカスマグサはカラスとスズメの中間に当たる姿からその名がついた。
カラスウリ,山のやぶなどに生える。細い茎をほかの植物にからませて伸びる。花は葉のつけ根に咲き、白い花は花びらの先が細く裂けていて美しい。夕方に花開き、夜明け前にはしぼんでしまう。雌雄異株（しゆういしゅ）で、葉が枯れるころにだ円形の赤い果実が熟す。
カヤツリグサ,畑や荒れ地などに生える。茎が三角で、まん中から花火のような花がついていれば、カヤツリグサ科の植物だということはすぐにわかる。ただ、似たようなものがたくさんあるので見きわめるのはむずかしい。カヤツリグサは、コゴメガヤツリによく似ている。
カブ,ヨーロッパ東部の亜寒帯に自生する野生アブラナから栽培された。日本へは、朝鮮半島経由のアジア種（しゅ）と、シベリアをとおって中国東北部から入ってきたヨーロッパ種（しゅ）の二つの経路が考えられる。全国的に栽培されるのは前者に属し、東日本では後者の品種群が多い。
カツラ,カツラの木には、風格がある。花の季節には木全体が赤く色づき、つぎにあざやかな黄緑の葉が美しい季節がやってくる。柔らかな黄色い葉が舞う秋の姿もおもむきがある。材は軽くて加工しやすいので、家具などに使われることが多い。
カタバミ,三つ葉のクローバー（シロツメクサ）によく似ているが、カタバミは小さな黄色の花をつける。道ばたや原っぱの常連メンバーで、世界に広く分布している。果実が熟したころに指でつまむと、それをきっかけに次々と種子がはじけ飛ぶ。
カタクリ,山の林の中などに生える。紅紫色の花は花びらをそり返らせ、ひっそりと下向きに咲く。20年ほどまえの山には、かれんな姿のカタクリが群生していた。今では高速道路ができて、都会からたくさんの人が山に入るようになりめっきり減ってしまった。
カスミソウ,花束にボリュームをつけるために使われるカスミソウは、宿根（しゅっこん）カスミソウ。小さな花は、ポンという感じで茎全体をゆらしながら花開く。2年草のカスミソウは、宿根草（しゅっこんそう）より早い時期に花を咲かせる。白のほかに、ピンクのもの、大輪のものなどがある。
カシワ,大きな波状の鈍鋸歯（きょし）が目立つカシワの葉は、むかしから食物を蒸すなど調理のときに使ったことから「炊ぐ葉」とよばれた。これがカシワの名の由来だそうだ。現在では調理には使われなくなったものの、柏餅には欠かせない存在となっている。
カキドオシ,春、道ばたや空き地などに普通に生える。垣根の向こうまで伸びていく生命力から、「垣通し」の名がある。花の時期はかれんなイメージだが、夏にはつるを1メートル以上にも伸ばし、地をはうようになる。葉と茎に独特のにおいがあり、民間薬としても使われる。
カキツバタ,湿地に生える。紫色の大きな花をつけ、花びらの中心に白いすじがあるのが特徴である。また、葉の中脈が目立たないことからノハナショウブと識別できる。和名は、この花の汁をこすりつけて布を染めたことから「書付け」がなまってついたといわれる。環境省のレッドリストの準絶滅危惧に指定されている。
