title,desc
赤,"赤（あか、紅、朱、丹）は色のひとつで、熟したイチゴや血液のような色の総称。JIS規格では基本色名の一つ。国際照明委員会 (CIE) は700 nm の波長をRGB表色系においてR（赤）と規定している。赤より波長の長い光を赤外線と呼ぶが、様々な表色系などにおける赤の波長とは間接的にしか関係ない。語源は「明（アカ）るい」に通じるとされる。「朱・緋（あけ）」の表記が用いられることもある。赤色（セキショク、あかいろ）は赤の同義語。
"
アカガエル科,アカガエル科（アカガエルか、Ranidae）は、無尾目に分類される科。
しもやけ,"しもやけ（霜焼け、英: Chilblain）とは、身体の一部が冷えたために、膨れて硬くなったり、その部分が痒くなったり熱くなるような感覚を覚える現象である。しもばれ（霜腫れ）、しもくち（霜朽ち）、凍瘡、ゆきやけ（雪焼け、日本海側各地の方言）とも言う。
"
ヒトの髪の色,ヒトの髪の色（ヒトのかみのいろ）では、ヒトにおける頭髪の色について記述する。ヒトの髪の色はユーメラニンとフェオメラニンと呼ばれる化学物質による着色の結果により決まる。
酸化鉄(III),"酸化鉄(III)（さんかてつ さん、Iron(III) oxide）は、
酸化第二鉄（さんかだいにてつ、ferric oxide）、ヘマタイト (Hematite)、
赤色酸化鉄（せきしょくさんかてつ、red iron oxide）、
合成磁赤鉄鉱（ごうせいじせきてっこう、maghemite）、弁柄（べんがら、colcothar）、
三酸化二鉄（さんさんかにてつ）、
あるいは単に錆として知られる、幾つか存在する鉄の酸化物の一つで、
常磁性を示し、組成式はFe2O3で示される化学物質である。
"
赤潮,赤潮（あかしお）は、プランクトンの異常増殖により海や川、運河、湖沼等が変色する現象である。水が赤く染まることが多いため「赤潮」と呼ばれるが、水の色は原因となるプランクトンの色素によって異なり、オレンジ色、赤色、赤褐色、茶褐色等を呈する。赤潮を引き起こす生物は、色素としてクロロフィルの他に種々のカロテノイドを持つ場合が多く、細胞がオレンジ色や赤色を呈する為にこう見える。
赤信号,赤信号（あかしんごう）
赤ずきん,『赤ずきん』（あかずきん、赤ずきんちゃん、仏: Le Petit Chaperon rouge、独: Rotkäppchen）は、童話の1つで、ペロー童話集やグリム童話（KHM 26）にも収録されている。
赤ちゃん,"赤ちゃん（あかちゃん）は、産まれたばかりの子供のこと。赤子（あかご）、赤ん坊（あかんぼう）とも言う。なお、人間以外の動物にも「赤ちゃん」が用いられることがしばしばある。種にもよるが、生存のために援助を必要とする弱い存在である。多くの種で赤ちゃんは愛らしい外見をしており、これは援助を受けやすくするために有利な形質なのではないかとの解釈もある。
"
赤とんぼ,赤とんぼ（あかとんぼ）は、体色の赤いトンボの総称。「赤卒」（せきそつ）ということもある。
アカマツ,アカマツ（赤松、学名：Pinus densiflora）は、マツ科マツ属の常緑針葉樹である。複維管束亜属（いわゆる二葉松）に分類される。別名はメマツ（雌松）。
照明,"照明（しょうめい、英: lighting）とは、
"
秋,"秋（あき）は、四季の1つであり夏の後、冬の前に位置する。
"
秋草,"秋草（あきぐさ）は、大日本帝国海軍の海軍航空技術廠で開発されたロケット迎撃機「秋水」の訓練用滑空機（軍用グライダー）である。海軍の識別符号はMXY8。大日本帝国陸軍ではク13と識別符号を与えたが、愛称は特に無く単に「秋水滑空機」と呼ばれた[1]。
"
秋雨,秋雨（あきさめ）とは、日本において8月後半頃から10月頃にかけて（地域によって時期に差がある）降る長雨[1]のこと。秋の長雨、秋霖（しゅうりん）、すすき梅雨ともいう。
七草,七草（ななくさ）は、人日の節句（1月7日）の朝に、7種の野草あるいは野菜が入った粥（七草粥)を食べる風習のこと。
アキレス腱,アキレス腱（アキレスけん、英語: Achilles' tendon、ラテン語: tendo Achillis）は、踵骨腱（しょうこつけん）とも言い、足にあるふくらはぎの腓腹筋・ヒラメ筋をかかとの骨にある踵骨隆起に付着させる腱である。人体で最も強く最大の腱で、歩行や跳躍などの運動の際に必要である。
アクセサリー,アクセサリー(英語: Accessory)
アクセル,"アクセル (Accel, Aksel, Axel, Axl)
"
あくび,あくび（yawn）（欠、欠伸、呿呻、呿）は、眠たいときなどに不随意に（反射的に）起こる、大きく口を開けて深く息を吸う呼吸動作である。
悪魔,"悪魔（あくま）とは、特定の宗教文化に根ざした悪しき超自然的存在や、悪を象徴する超越的存在をあらわす言葉である[1]。
"
胡坐,胡坐（あぐら、こざ）は、座り方のひとつ。
アゲハ蝶,「アゲハ蝶」（アゲハちょう）は、ポルノグラフィティの6作目のシングル。2001年6月27日にリリースされた。
アケビ,アケビ（木通、通草）は、アケビ科の蔓性落葉低木の一種（学名: Akebia quinata）であるが、アケビ属（学名: Akebia）に属する植物の総称でもある。本記事ではこの種の方を扱う。
曙,"曙（あけぼの）
"
顎,顎（あご、英: jaw）は、それを持つ生物一般においては、口の一部であって、開閉して物を捕らえる機能を有する構造体を指す。
アコーディオン,"アコーディオン (英: Accordion)は、鍵盤楽器、蛇腹楽器の一種である。
"
アサ,"和名アサ（麻、英名Cannabis）は、学名カンナビス・サティバ (Cannabis sativa)といい、中央アジア原産[1]とされるアサ科アサ属で大麻草（たいまそう）とも呼ばれる[2][3]、一年生の草本である。雌雄異株。ことわざ、麻の中の蓬（よもぎ）が凡人を感化する善人に麻をたとえているように、高くまっすぐ生育する。人類が栽培してきた最も古い植物のひとつとして1万年を超えるつきあいがある。茎の皮の植物繊維は、麻繊維として麻紙や麻布、神道における具など様々に、実（種子）は食用や生薬の麻子仁（マシニン）として、麻の実油は食用や燃料など、成分を酩酊や医療大麻にと様々な形で用いられてきた。実は大豆に匹敵する高い栄養価がある。伊勢神宮の神札の大麻と呼ぶ由来となった植物であり、三草のひとにつ数えられ、米と並んで主要作物として盛んに栽培されてきた。第二次世界大戦中に農林省が日本原麻を設立した日本でも[4]、終戦後にGHQの指令により規制したが[5]、繊維用の麻まで強く規制され伝統継承の問題が生じている[6]。20世紀半ばより国際的に薬用の大麻が規制されたが、21世紀初頭には医療大麻、違法かつ非犯罪化という緩い規制への変化、米国首都での嗜好大麻の合法化など例外も増えてきた[7]。
"
朝顔,"朝顔（あさがお）は、
"
あさかぜ,あさかぜ、朝風（ローマ字:Asakaze）
朝霧,朝霧（あさぎり）は、朝に立つ霧のことを指す語（原義）。秋の季語。以下はこの派生用語。
朝食,"朝食（ちょうしょく）とは、朝に摂る食事のことである。朝餉（あさげ）、朝飯（あさめし）、朝御飯（あさごはん）とも。英語風にブレックファーストやブレックファスト、ブレイクファースト（英: breakfast[注 1][1]） とも言う。
"
朝日,朝日（あさひ、ちょうにち）、あさひ、アサヒ
夕焼け,夕焼け（ゆうやけ）は、日没の頃、西の地平線に近い空が赤く見える現象のこと。
アザラシ,アザラシ（海豹）は、鰭脚類に含まれる海棲哺乳類のグループである。アザラシ科、もしくはアザラシ科アザラシ亜科に分類される。
あさり,あさり、アサリ
足,足（あし）は、一般的に身体の一部を指すが、言語用途によって意味が異なってくる言葉の一つである。
アシカ,アシカ（海驢、葦鹿）は、鰭脚類アシカ科の海生動物である。ただし現状、その範囲は文脈により揺らぎがある。最も広義にはアシカ科の総称であるが、アシカ科には一般的にオットセイ、トド、オタリアも含まれ、これ等（特にオットセイ）を別扱いとする場合もある。さらに狭義の意味で、アシカ属1属を意味することもある。
足関節,"足関節（そくかんせつ）は、足首にある関節。足関節は脛骨、腓骨、7つの足根骨を含めた9個の骨で構成されており、上跳躍関節、下跳躍関節、踵立方関節、楔舟関節で構成される複関節といわれる。距腿関節と距骨下関節の総称である。
"
アジサイ,"アジサイ（紫陽花、学名 Hydrangea macrophylla）は、アジサイ科アジサイ属の落葉低木の一種である[1]。広義には「アジサイ」の名はアジサイ属植物の一部の総称でもある[2]。狭義には品種の一つ H. macrophylla f. macrophylla の和名であり[3][注 1]、他との区別のためこれがホンアジサイと呼ばれることもある。原種は日本に自生するガクアジサイ H. macrophylla f. normalis である。
"
あした,あした（明日）は、現在の次の日のこと。
アシナガバチ,"アシナガバチ（脚長蜂、英: Paper wasp）は、スズメバチ科アシナガバチ亜科に属するハチの総称。
"
アスパラガス,アスパラガス（竜髭菜、Asparagus spp.）とは、被子植物の中の単子葉植物に属する多年生草本植物である。クロンキスト体系ではユリ科に含めているが、分子系統学によるAPG植物分類体系ではキジカクシ科に属している。雌雄異株である。
アスファルト,"アスファルト（英: asphalt）もしくは土瀝青（どれきせい）とは、原油に含まれる炭化水素類の中で最も重質のものである。道路の舗装や防水剤などに使われる。減圧蒸留装置で作られた減圧残油はそのまま製品アスファルトとなり、ストレート・アスファルトと呼ばれる。[要出典]
"
石綿,"石綿（いしわた[1]、せきめん、オランダ語: asbest（アスベスト）英語: asbestos[1] [æsˈbɛstɒs, -təs, æz-]（アスベストス））は、蛇紋石や角閃石が繊維状に変形した天然の鉱石で無機繊維状鉱物の総称。蛇紋石系（クリソタイル）と角閃石系（クロシドライト、アモサイトなど）に大別される。
"
アスリート,アスリート（英：athlete）とは、英語で運動選手、スポーツマン（和製英語：sports man）などという意味の言葉である。スポーツ選手（スポーツせんしゅ）とも。
汗,"汗（あせ）とは、哺乳類が皮膚の汗腺から分泌する液体である。およそ99%が水であるが、さまざまな溶解固形物（主に塩化物）も含む[1]。o-クレゾール、p-クレゾール、および少量の尿素などの化学物質もしくは芳香化合物も含まれている[要出典]。汗を分泌することを発汗という。
"
頭,頭（あたま）あるいは頭部は、動物の体の前方の口器、感覚器官、中枢神経系が集中して特別に分化した部位である。目、耳といった感覚器官や、摂食器官である口器の複合した前面部分は、特に顔と呼ぶことがある。頭部の付け根はしばしば可動性を有するくびれた部分となり、首と呼ばれる。ヒトでは顔と首を除いた部分に頭髪が生えており、この部分だけを頭部の他の部分から区別して頭と呼ぶこともある。
アップルパイ,"アップルパイ（英: apple pie）とは、砂糖煮にしたリンゴを詰めてオーブンで焼いたパイのこと。
"
穴,穴（あな）
アニメ,"アニメは、アニメーションの略語である[1]。アニメーションを用いて構成された映像作品全般を指す。
"
アヒル,"アヒル（鶩、または家鴨）は、水鳥のカモ科のマガモを原種とする家禽で、生物学的にはマガモと同種である。ヨーロッパや中国などで飼育が始まり、飼育が容易なこともあり、世界中で幅広く飼育されている。
"
アホウドリ,アホウドリ（信天翁[4][5][6]、阿房鳥[4][6]、阿呆鳥[7][5][6]、Phoebastria albatrus）は、ミズナギドリ目アホウドリ科アホウドリ属に分類される鳥類。信天翁の漢字を音読みにして、「しんてんおう」とも呼ばれる。尖閣諸島の久場島にはこの名にちなんだ「信天山」という山がある。長崎県で古くから呼ばれているオキノタユウ（沖の太夫、沖にすむ大きくて美しい鳥）に改名しようとする動きもある[8]。
アボカド,アボカド（英: avocado[※ 1]、学名：Persea americana）とは、クスノキ科ワニナシ属の常緑高木である。また、その果実のことも指す。別名、ワニナシ（鰐梨）。
アマガエル,"アマガエル
"
乱層雲,"乱層雲（らんそううん）は雲の一種。空全体を覆い、厚さや色にむらが少なく一様で、暗灰色をした雲。雨雲または雪雲とも呼ばれ、降水をもたらす雲の代表格である。
"
天の川,"天の川あるいは天の河[1]（あまのがわ）は、夜空を横切るように存在する雲状の光の帯のこと。
"
アマリリス,アマリリス（Amaryllis）は、ヒガンバナ科ヒッペアストルム属 Hippeastrum の植物の総称、原種は中南米・西インド諸島に約90種があり、数百種類の園芸品種が作出され、現在もその数は増え続けている。学名のヒッペアストラムはギリシア語で騎士の意味のhippeos(ヒッペオス)と星、astron(アストロン)から、アマリリス Amaryllis は旧属名であり古代ギリシャやローマの詩に登場する羊飼いのアマリリスから取られている。 学名上の園芸品種の総称はヒッペアストルム・ヒブルドゥム Hippeastrum × hybridum 。
網,網（网、あみ）とは、柔軟性に富む糸などを用いて格子状に結びつけて編み込まれた物である。ネット（英語: net）ともいう。
アミノ酸,"アミノ酸（アミノさん、英: amino acid）とは、広義には（特に化学の分野では）、アミノ基とカルボキシル基の両方の官能基を持つ有機化合物の総称である。一方、狭義には（特に生化学の分野やその他より一般的な場合には）、生体のタンパク質の構成ユニットとなる「α-アミノ酸」を指す。分子生物学など、生体分子をあつかう生命科学分野においては、遺伝暗号表に含まれるプロリン（イミノ酸に分類される）を、便宜上アミノ酸に含めることが多い[1][2]。
"
雨,"雨（あめ）とは、大気から水の滴が落下する現象で、降水現象および天気の一種[1][2]。また、落下する水滴そのもの（雨粒）のこと[3]。大気に含まれる水蒸気が源であり、冷却されて凝結した微小な水滴が雲を形成、雲の中で水滴が成長し、やがて重力により落下してくるものである。ただし、成長の過程で一旦凍結し氷晶を経て再び融解するものもある[4]。地球上の水循環を構成する最大の淡水供給源で、生態系に多岐にわたり関与するほか、農業や水力発電などを通して人類の生活にも関与している[3][5]。
"
アメーバ,"アメーバ（amoeba, ameba, amœba）は、単細胞で基本的に鞭毛や繊毛を持たず、仮足で運動する原生生物の総称である。また仮足を持つ生物一般や細胞を指してこの言葉を使う場合もある。ギリシャ語で「変化」を意味する αμοιβη（amoibē） に由来する。"
アメフラシ,"アメフラシ（雨降らし、雨虎、雨降）は、腹足綱後鰓類の無楯類 (Anapsidea, Aplysiomorpha) に属する軟体動物の総称。狭義には、アメフラシ科に属するアメフラシ（通称 日本種アメフラシ、学名 Aplysia kurodai Baba, 1937）を指すが、ここでは無楯類について述べる。"
アメンボ,アメンボ（水黽、水馬、飴坊、飴棒）は、昆虫綱半翅目アメンボ科の総称である[2][3][4]。
あらいぐま,"あらいぐまは、日本のイラストレーター、漫画家、原画家。主に成人向け漫画と小説などのイラストを執筆している。
"
霰 (曖昧さ回避),霰（あられ）
アリ,"アリ（蟻、螘）は、ハチ目・スズメバチ上科・アリ科（Formicidae）に属する昆虫である。体長は1 mm-3 cmほどの小型昆虫で、人家の近くにも多く、身近な昆虫のひとつに数えられる。原則として、産卵行動を行う少数の女王アリと育児や食料の調達などを行う多数の働きアリが大きな群れを作る社会性昆虫。世界で1万種以上、日本で280種以上がある。種類によっては食用となる。
"
ウスバカゲロウ,ウスバカゲロウ（薄翅蜉蝣）はアミメカゲロウ目（脈翅目）ウスバカゲロウ科 Myrmeleontidae の昆虫の総称、またはその一種ウスバカゲロウ Hagenomyia micans MacLachlan を指す。
塩基,"塩基（えんき、英: base）は化学において、酸と対になってはたらく物質のこと。一般に、プロトン (H+) を受け取る、または電子対を与える化学種[1]。歴史の中で、概念の拡大をともないながら定義が考え直されてきたことで、何種類かの塩基の定義が存在する。
"
アルコール,"化学においてのアルコール（alcohol）とは、炭化水素の水素原子をヒドロキシ基 (-OH) で置き換えた物質の総称である。芳香環の水素原子を置換したものはフェノール類と呼ばれ、アルコールと区別される。
"
アルミホイール,アルミホイール（英: Aluminum wheel）は、車輪の構成要素である、リム、スポーク、フランジのすべて、または大部分をアルミニウム合金を用いて製造した自動車の部品である。同様の物を英語ではalloy wheel(合金ホイールの意)と呼ばれており、日本では輸入車のカタログにアロイホイールと記載されている場合も有る。オートバイ用のものはマグネシウムなどの他の合金の物も含めて「キャストホイール」と呼ばれることもある。
アレルギー,アレルギー（独: Allergie）とは、免疫反応が特定の抗原に対して過剰に起こることをいう。免疫反応は、外来の異物（抗原）を排除するために働く、生体にとって不可欠な生理機能である。語源はギリシア語の allos（変わる）と ergon（力、反応）を組み合わせた造語で、疫を免れるはずの免疫反応が有害な反応に変わるという意味である[1]。
アロエ,アロエ（蘭: Aloë）はツルボラン亜科アロエ属の多肉植物の総称。現在までに500種以上が知られている。南アフリカ共和国からアラビア半島まで広く分布するが、とりわけアフリカ大陸南部、およびマダガスカル島に集中し分布する。 古くはアロエの「ロエ」を漢字で音訳（当て字）した「蘆薈」の読みを変えた、「ろかい」と称した。琉球方言ではこの漢字の中国風の発音「どぅぐゎい」と称する。
泡,泡（あわ、あぶく、英: foam、bubble）または泡沫（ほうまつ、うたかた）とは、液体もしくは固体がその中に空気などの気体を含んで丸くなったもの。気体を包む液体の表面張力により作られる。固体の泡は、液体の状態で形成されたものが固体化されたものが普通である。
アワビ,アワビ（鮑、鰒、蚫、英語: abalone）は、ミミガイ科の大型の巻貝の総称[1]。アワビ属についてはHaliotisではなくてNordotisとしている図鑑もある。雌雄の判別は外見からではほぼ不可能で、肝ではなく生殖腺の色で見分ける。生殖腺が緑のものがメスで、白っぽいものがオスである。
アンモナイト,"アンモナイト（分類名：アンモナイト亜綱、学名：subclassis Ammonoidea）は、古生代シルル紀末期（もしくは[1]、デボン紀中期）から中生代白亜紀末までのおよそ3億5,000万年前後の間を、海洋に広く分布し繁栄した、頭足類の分類群の一つ。全ての種が平らな巻き貝の形をした殻を持っているのが特徴である。
"
アンモニア,"アンモニア (英: ammonia) は分子式が 
  
    
      
        
          
            NH
            
              3
            
            
              
            
          
        
      
    
    {\displaystyle {\ce {NH_3}}}
  
 で表される無機化合物。常温常圧では無色の気体で、特有の強い刺激臭を持つ。
"
アリクイ,"アリクイ（蟻食・蟻喰・食蟻獣）は、哺乳綱有毛目アリクイ亜目（Vermilingua）の総称である。
"
家,家（いえ）
胃液,胃液（いえき、英: gastric juice）は、食べ物を消化するために胃で分泌される体液（消化液）である。中に含まれる塩酸は胃酸とも呼ばれる。
硫黄,"硫黄（いおう、英: sulfur, 羅: sulphur）は原子番号 16、原子量 32.1 の元素である。元素記号は S。酸素族元素の一つ。多くの同素体や結晶多形が存在し、融点、密度はそれぞれ異なる。沸点 444.674 ℃。大昔から自然界において存在が知られており、発見者は不明になっている。硫黄の英名 sulfur は、ラテン語で「燃える石」を意味する言葉に語源を持っている[2]。
"
いかだ,いかだ（筏・桴）は、木材・竹など浮力を持つ部材をつなぎ合わせ、蔓などで結びつけた、水上構造物である。 航行や養殖の目的に用いられており、用途に応じて船舶または浮きの集合体とみなされる。
イカリ,"イカリ、いかり、IKARI
"
息,"息（いき、breath）とは、
"
生物,"生物（せいぶつ）または生き物（いきもの）とは、動物・菌類・植物・古細菌・真正細菌などを総称した呼び方である。
"
イグサ,イグサ（藺草、Juncus effusus L. var. decipens Buchen.）は、単子葉植物イグサ科の植物である。標準和名はイ（藺。「イグサ」を使うこともある）。最も短い標準和名としても知られている。別名：トウシンソウ（燈芯草）。畳表を作るのに使われる。俳句では夏の季語とされる。
池,池（いけ、英語: pond）とは、
垣根,垣根（かきね）とは、敷地や庭などの区画として設ける囲い。一般に竹で編んだものや木を植えた生垣をいう。
生け簀,生け簀（いけす）は、漁獲した魚介類を販売や食用に供するまでの間、一時的に飼育するための施設である。いけす、生簀とも表記する。
華道,"華道（かどう）は、植物のみや、植物を主にその他様々な材料を組み合わせて構成し、鑑賞する芸術である。「花道」とも表記し、またいけばな（生け花、活花、挿花）とも呼ばれる。 ただし華道という呼称は「いけばな」よりも求道的意味合いが強調されている。華道にはさまざまな流派があり、様式・技法は各流派によって異なる。
"
石,"石（いし、stone）は、岩より小さく、砂（sand）よりも大きい、鉱物質のかたまり[1]。
"
イソギンチャク,"イソギンチャク（磯巾着、菟葵, Sea Anemone）は、刺胞動物門花虫綱六放サンゴ亜綱イソギンチャク目に属する動物の総称である。柔らかい無脊椎動物で、口の回りに毒のある触手を持つ。"
イタチ,"イタチ（鼬、鼬鼠）とは、ネコ目（食肉目） イヌ亜目 クマ下目 イタチ科 イタチ属 Mustela に含まれる哺乳類の総称である。オコジョ、イイズナ、ミンク、ニホンイタチなどがイタチ属に分類される。ペットとして人気のあるフェレットもイタチ属である。
"
イチゴ,"イチゴ（苺、Fragaria）は、バラ科の多年草。
"
イチジク,イチジク（無花果、映日果）は、クワ科イチジク属の落葉高木、またはその果実のことである。原産地はアラビア南部[1]。不老長寿の果物とも呼ばれる。
一番星,"一番星、1番星、いちばん星（いちばんぼし）は、「宵の明星」（金星）のこと。
"
イチョウ,"イチョウ（銀杏、公孫樹、鴨脚樹、学名：Ginkgo biloba）は、裸子植物門イチョウ綱イチョウ目イチョウ科イチョウ属に属する、中国原産の裸子植物。食用（伝統中国食品[8]）、観賞用、材用として栽培される。
"
一輪車,"一輪車（いちりんしゃ）とは主にスポーツや曲技に使われる、地面に接する車輪を一つしか持たない自転車の一種。
"
一等星,"一等星または1等星（いっとうせい）とは、厳密には明るさの等級が1等級（0.5等星（を含め）から1.5等星（を含めない））の星を指すが、1.5等星より明るい21個の恒星（実際には1等星より明るいものも含む）を指すこともある[1]。等級 (天文)・明るい恒星の一覧・Category:1等星を参照。
"
糸,"糸（いと）とは、天然繊維、化学繊維の両方、もしくはいずれか一方の繊維を引き揃えて、撚りをかけた物のことである。糸を造ることを紡績、これを生業としたものを「製糸業」「紡績業」という。工業的に撚りをかけたもののことを専門的には撚糸(ねんし)という[1]。 フィラメント糸やクモの糸の様な紡績とは無関係な長細い形状の物も含めて糸と呼ぶ。
"
井戸,井戸（いど）は地下水、温泉、石油、天然ガスなどをくみ上げるため、または水を注入するために、地面を深く掘った設備である。
いとこ,"いとこは、自分からみて親の兄弟姉妹の子供である。4親等の傍系親族の一つ。
"
糸電話,糸電話（いとでんわ、英語 Tin can telephone）とは、音声を糸の振動に変換して伝達し、再び音声に変換することによって離れた2点間で会話ができるように作られた玩具。また、音の実体が振動であることを示す目的で、理科実験教材として使用されることがある。「電話」とあるが、これは英語のtelephone（離れた場所で会話する装置）の訳であり電気を使うわけではない。
田舎,"田舎（いなか）は、都市、都会、都（みやこ）などの対義語となる概念。
"
イナゴ,イナゴ（蝗、稲子、螽）は、直翅目・バッタ亜目・イナゴ科（Catantopidae）に属するバッタ類の総称（イナゴ科をバッタ科と分けない場合もある）。日本では稲を食べる害虫とされると同時に水田から得られる重要なタンパク源として扱われ、多くの地域で食用とされた。 なお、バッタ科でもナキイナゴ、アメリカイナゴのように「いなご」と呼ばれるものがあるが、これらは本項にいうイナゴではない。
雷,"雷（かみなり、いかずち）とは、雲と雲との間、あるいは雲と地上との間の放電によって、光と音を発生する自然現象のこと[1]。
"
イネ,"イネ（稲、稻、禾）は、イネ科イネ属の植物[1]。属名Oryza は古代ギリシア語由来のラテン語で「米」または「イネ」を意味する。種小名 sativa は「栽培されている」といった意味である。収穫物は米と呼ばれ、トウモロコシやコムギとともに世界三大穀物の1つとなっている。稲禾（とうか）、禾稲（かとう）などとも呼ばれる。
"
イヌ,"イヌ（犬、狗、学名：Canis lupus familiaris、ラテン語名：canis、英語名［国際通用名］：dog、domestic dog）は、ネコ目（食肉目）- イヌ科- イヌ属に分類される哺乳類の一種である。
"
イネ,"イネ（稲、稻、禾）は、イネ科イネ属の植物[1]。属名Oryza は古代ギリシア語由来のラテン語で「米」または「イネ」を意味する。種小名 sativa は「栽培されている」といった意味である。収穫物は米と呼ばれ、トウモロコシやコムギとともに世界三大穀物の1つとなっている。稲禾（とうか）、禾稲（かとう）などとも呼ばれる。
"
イノシシ,"イノシシ（猪・豬、英名: boar 学名:Sus scrofa）は、鯨偶蹄目イノシシ科の1種。十二支の12番目「亥」であり、犬と同じくらい鼻が非常に敏感だが、神経質な動物でもある。本種の家畜化がブタである。
"
命,命（いのち）とは、多様で奥深い意味を持つ概念であり、生物の生きる力や期間、生きていく大もとの外に現れる働きのもと。「唯一のよりどころとなる、最も大切なもの」という象徴的な意味もある（例：このラーメンはスープが命だ）。人間の命は特に人命と呼ばれることがあり、人命は第一に守られるべき（最も尊ばれるべき）であるという社会的通念がある。
